epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1126.58,2.36572,2.04015,0.00265,0.58071,0.50575,0.52119,0.20953,2.10145,2.29902,0.00329,0.000333113,0.000333113,0.0670218
2,2234.57,2.2253,1.69351,0.00242,0.67567,0.5861,0.63347,0.26048,1.99766,3.68752,0.00304,0.000653251,0.000653251,0.0340086
3,3328.89,2.14408,1.56476,0.00232,0.71929,0.62077,0.67984,0.29402,1.94392,2.18533,0.00294,0.000960188,0.000960188,0.00098222
4,4418.73,2.08652,1.47577,0.00224,0.76215,0.65843,0.73136,0.32941,1.89715,1.73932,0.00284,0.0009406,0.0009406,0.0009406
5,5510.96,2.03894,1.39763,0.00217,0.77426,0.6868,0.75235,0.34639,1.85146,2.33305,0.00277,0.0009208,0.0009208,0.0009208
6,6598.94,2.00597,1.33049,0.00213,0.80599,0.70312,0.77839,0.37396,1.74593,1.3338,0.0026,0.000901,0.000901,0.000901
7,7690.09,1.97864,1.28337,0.00209,0.80878,0.73955,0.79907,0.39015,1.72381,1.3475,0.00259,0.0008812,0.0008812,0.0008812
8,8781.22,1.95626,1.23833,0.00205,0.81905,0.73448,0.80589,0.39568,1.74173,1.48285,0.00256,0.0008614,0.0008614,0.0008614
9,9871.69,1.93581,1.21057,0.00203,0.83735,0.75173,0.82498,0.41272,1.71471,1.28282,0.00254,0.0008416,0.0008416,0.0008416
10,10962.2,1.91484,1.19293,0.00201,0.84575,0.76638,0.83648,0.425,1.66152,1.22801,0.00247,0.0008218,0.0008218,0.0008218
11,12050.3,1.89934,1.16832,0.00197,0.83298,0.76208,0.83163,0.42468,1.68881,1.39354,0.00247,0.000802,0.000802,0.000802
12,13139.7,1.88039,1.14736,0.00196,0.84915,0.77155,0.84543,0.43309,1.67375,1.16377,0.00246,0.0007822,0.0007822,0.0007822
13,14227.3,1.86276,1.12642,0.00193,0.85282,0.77972,0.85272,0.44938,1.62255,1.1099,0.00238,0.0007624,0.0007624,0.0007624
14,15314.2,1.84592,1.11163,0.00191,0.86116,0.78588,0.86124,0.46186,1.58435,1.02964,0.00232,0.0007426,0.0007426,0.0007426
15,16401.7,1.83164,1.09449,0.00189,0.8588,0.78848,0.86137,0.45822,1.61701,1.04598,0.00237,0.0007228,0.0007228,0.0007228
16,17490.3,1.8208,1.08362,0.00188,0.86694,0.79106,0.86458,0.46391,1.61391,0.97143,0.00234,0.000703,0.000703,0.000703
17,18576.1,1.80875,1.06592,0.00186,0.867,0.79424,0.8689,0.47191,1.5928,1.01147,0.0023,0.0006832,0.0006832,0.0006832
18,19663.5,1.79858,1.05304,0.00184,0.86917,0.79964,0.87372,0.47742,1.57021,1.01525,0.00228,0.0006634,0.0006634,0.0006634
19,20752.6,1.79398,1.05128,0.00183,0.87382,0.80606,0.87901,0.48573,1.55146,0.963,0.00225,0.0006436,0.0006436,0.0006436
20,21839,1.77607,1.0324,0.00182,0.87637,0.81043,0.88219,0.49049,1.53199,0.92022,0.00222,0.0006238,0.0006238,0.0006238
21,22926.3,1.76317,1.01562,0.00181,0.87617,0.81072,0.88359,0.49071,1.5526,0.91689,0.00224,0.000604,0.000604,0.000604
22,24014.6,1.76691,1.02171,0.0018,0.87845,0.81228,0.88554,0.4934,1.54812,0.916,0.00224,0.0005842,0.0005842,0.0005842
23,25102.3,1.7564,1.01132,0.00178,0.88033,0.81566,0.88816,0.49962,1.52625,0.91088,0.0022,0.0005644,0.0005644,0.0005644
24,26190.8,1.7481,1.0091,0.00177,0.8813,0.81751,0.88923,0.50123,1.52497,0.88522,0.0022,0.0005446,0.0005446,0.0005446
25,27279.8,1.73082,0.98784,0.00176,0.88314,0.82061,0.89169,0.50511,1.51991,0.87832,0.00218,0.0005248,0.0005248,0.0005248
26,28365.5,1.72405,0.98576,0.00175,0.88498,0.82259,0.89365,0.50852,1.51872,0.8928,0.00218,0.000505,0.000505,0.000505
27,29453.2,1.71236,0.97173,0.00174,0.88702,0.82395,0.89535,0.51228,1.51009,0.85235,0.00216,0.0004852,0.0004852,0.0004852
28,30537.9,1.7101,0.973,0.00173,0.88708,0.82542,0.89701,0.51609,1.49465,0.84979,0.00214,0.0004654,0.0004654,0.0004654
29,31626.3,1.70874,0.96878,0.00173,0.88899,0.82797,0.89878,0.51746,1.49415,0.83879,0.00214,0.0004456,0.0004456,0.0004456
30,32714.5,1.69397,0.96304,0.00171,0.88972,0.82804,0.89929,0.51835,1.49119,0.83671,0.00213,0.0004258,0.0004258,0.0004258
31,33802.7,1.68606,0.94831,0.0017,0.89053,0.8287,0.90016,0.51991,1.49111,0.82509,0.00213,0.000406,0.000406,0.000406
32,34890.2,1.67899,0.94819,0.0017,0.89176,0.82936,0.90123,0.522,1.48747,0.81309,0.00212,0.0003862,0.0003862,0.0003862
33,35976.7,1.67649,0.94183,0.00169,0.8918,0.83104,0.90212,0.52377,1.48095,0.80584,0.00211,0.0003664,0.0003664,0.0003664
34,37062.6,1.66985,0.94054,0.00169,0.8934,0.83175,0.90326,0.52505,1.48279,0.79778,0.00212,0.0003466,0.0003466,0.0003466
35,38148.9,1.66316,0.93112,0.00167,0.89433,0.83186,0.90405,0.52705,1.4804,0.79195,0.00211,0.0003268,0.0003268,0.0003268
36,39235.1,1.65859,0.92755,0.00165,0.89553,0.83209,0.90471,0.52807,1.47918,0.78876,0.00211,0.000307,0.000307,0.000307
37,40320.5,1.6499,0.92098,0.00166,0.89572,0.83324,0.90553,0.5292,1.47703,0.78323,0.00211,0.0002872,0.0002872,0.0002872
38,41408.9,1.64565,0.91778,0.00165,0.89649,0.83389,0.90612,0.53056,1.47399,0.77649,0.0021,0.0002674,0.0002674,0.0002674
39,42496,1.64062,0.91605,0.00164,0.89676,0.83388,0.90644,0.53091,1.47489,0.77466,0.0021,0.0002476,0.0002476,0.0002476
